symbol,date,price,pais
OFICINA CONSULAR SINGAPUR,Nov 2012,3,SGP
OFICINA CONSULAR SINGAPUR,Dec 2012,21,SGP
OFICINA CONSULAR SINGAPUR,Jan 2013,17,SGP
OFICINA CONSULAR SINGAPUR,Feb 2013,34,SGP
OFICINA CONSULAR SINGAPUR,Mar 2013,19,SGP
OFICINA CONSULAR SINGAPUR,Apr 2013,18,SGP
OFICINA CONSULAR SINGAPUR,May 2013,16,SGP
OFICINA CONSULAR SINGAPUR,Jun 2013,22,SGP
OFICINA CONSULAR SINGAPUR,Jul 2013,22,SGP
OFICINA CONSULAR SINGAPUR,Aug 2013,15,SGP
OFICINA CONSULAR SINGAPUR,Sep 2013,3,SGP
OFICINA CONSULAR SINGAPUR,Oct 2013,7,SGP
OFICINA CONSULAR SINGAPUR,Nov 2013,5,SGP
OFICINA CONSULAR SINGAPUR,Dec 2013,8,SGP
OFICINA CONSULAR SINGAPUR,Jan 2014,11,SGP
OFICINA CONSULAR SINGAPUR,Feb 2014,11,SGP
OFICINA CONSULAR SINGAPUR,Mar 2014,30,SGP